CL State,CL Region,CL District,Housing Category,Title,URL,Date Posted,Time Posted,Price,Location,Area,Num Time,Title Key
California,sfbay,sby,rooms & shares,單房出租 -乾淨舒適,https://sfbay.craigslist.org/sby/roo/d/san-jose/6969375941.html,2019-09-11,15:19,800.0,san jose west,None,,
California,sfbay,sby,rooms & shares,Available Now!! Large furnished room.Free all utilities.,https://sfbay.craigslist.org/sby/roo/d/san-jose-available-now-large-furnished/6976652931.html,2019-09-11,15:15,800.0,san jose east,160ft2,,
California,sfbay,nby,rooms & shares,Room in 3 Bed 1.5 Bath Condo (Commuter Location),https://sfbay.craigslist.org/nby/roo/d/novato-room-in-3-bed-15-bath-condo/6976596693.html,2019-09-11,14:03,800.0,novato,None,,
California,sfbay,sfc,rooms & shares,Room on TI,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-room-on-ti/6976625370.html,2019-09-11,14:39,875.0,treasure island,300ft2,,
California,sfbay,sfc,rooms & shares,"Furnished room for rent, near SFSU, CCSF, Bart, Muni, Freeway",https://sfbay.craigslist.org/sfc/roo/d/daly-city-furnished-room-for-rent-near/6976620139.html,2019-09-11,14:32,875.0,ingleside / sfsu / ccsf,80ft2,,
California,sfbay,sby,rooms & shares,Single House has a room for rent $650/month,https://sfbay.craigslist.org/sby/roo/d/san-jose-single-house-has-room-for-rent/6971502378.html,2019-09-11,14:14,650.0,san jose north,None,,
California,sfbay,eby,rooms & shares,seeking young professional roommate,https://sfbay.craigslist.org/eby/roo/d/antioch-seeking-young-professional/6976585846.html,2019-09-11,13:50,600.0,pittsburg / antioch,None,,
California,sfbay,eby,rooms & shares,Room w/Pvt Bath for Professional Female near Kaiser Hospital,https://sfbay.craigslist.org/eby/roo/d/antioch-room-pvt-bath-for-professional/6965354259.html,2019-09-11,13:43,750.0,pittsburg / antioch,120ft2,,
California,sfbay,sby,rooms & shares,Rento cuarto,https://sfbay.craigslist.org/sby/roo/d/san-jose-rento-cuarto/6976585328.html,2019-09-11,13:49,800.0,san jose downtown,None,,
California,sfbay,sby,rooms & shares,Newly renovated Room for rent with new bathroom,https://sfbay.craigslist.org/sby/roo/d/san-jose-newly-renovated-room-for-rent/6976555091.html,2019-09-11,13:15,750.0,san jose south,121ft2,,
California,sfbay,sby,rooms & shares,$700 - Room For Rent in Shared 3bd Townhouse (milpitas),https://sfbay.craigslist.org/sby/roo/d/milpitas-room-for-rent-in-shared-3bd/6962720908.html,2019-09-11,13:11,700.0,milpitas,100ft2,,
California,sfbay,nby,rooms & shares,Room for Rent $750,https://sfbay.craigslist.org/nby/roo/d/forest-knolls-room-for-rent-750/6969438551.html,2019-09-11,12:31,750.0,west marin,85ft2,,
California,sfbay,sfc,rooms & shares,One bedroom available in apartment,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-one-bedroom-available-in/6971413578.html,2019-09-11,12:51,800.0,excelsior / outer mission,None,,
California,sfbay,sby,rooms & shares,Furnished Room Available NOW... All utilities included,https://sfbay.craigslist.org/sby/roo/d/san-jose-furnished-room-available-now/6976528157.html,2019-09-11,12:43,800.0,san jose east,160ft2,,
California,sfbay,sfc,rooms & shares,Quiet room in Bernal Heights San Francisco (furnished),https://sfbay.craigslist.org/sfc/roo/d/san-francisco-quiet-room-in-bernal/6973903041.html,2019-09-11,11:32,895.0,bernal heights,115ft2,,
California,sfbay,sfc,rooms & shares,Female Roommate Wanted/Very Nice and Clean/Bright Room Facing Garden,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-female-roommate-wanted/6976438183.html,2019-09-11,11:07,890.0,sunset / parkside,None,,
California,sfbay,sby,rooms & shares,large room available,https://sfbay.craigslist.org/sby/roo/d/san-jose-large-room-available/6976475475.html,2019-09-11,11:45,800.0,san jose east,250ft2,,
California,sfbay,sby,rooms & shares,1 bedroom with shared bath,https://sfbay.craigslist.org/sby/roo/d/san-jose-1-bedroom-with-shared-bath/6970704836.html,2019-09-11,11:01,800.0,san jose north,115ft2,,
California,sfbay,eby,rooms & shares,*★★*Union City房间出租*★★*,https://sfbay.craigslist.org/eby/roo/d/fremont-union-city/6971285090.html,2019-09-11,10:53,720.0,fremont / union city / newark,None,,
California,sfbay,eby,rooms & shares,"private room ,share bath",https://sfbay.craigslist.org/eby/roo/d/fremont-private-room-share-bath/6976411514.html,2019-09-11,10:40,750.0,fremont / union city / newark,None,,
California,sfbay,eby,rooms & shares,"Room for Rent Concord,Ca",https://sfbay.craigslist.org/eby/roo/d/concord-room-for-rent-concordca/6976396890.html,2019-09-11,10:26,650.0,concord / pleasant hill / martinez,None,,
California,sfbay,nby,rooms & shares,Private Room w/Shared BR Available Immediately in NW Santa Rosa $750 +,https://sfbay.craigslist.org/nby/roo/d/private-room-shared-br-available/6976427026.html,2019-09-11,10:55,750.0,santa rosa,None,,
California,sfbay,nby,rooms & shares,Room for rent in an awesome household!,https://sfbay.craigslist.org/nby/roo/d/rohnert-park-room-for-rent-in-an/6976388443.html,2019-09-11,10:16,800.0,rohnert pk / cotati,None,,
California,sfbay,nby,rooms & shares,"Unfurnished room in lovely, spacious home",https://sfbay.craigslist.org/nby/roo/d/rohnert-park-unfurnished-room-in-lovely/6976386289.html,2019-09-11,10:14,800.0,rohnert pk / cotati,None,,
California,sfbay,sby,rooms & shares,Good Place with Other Good People,https://sfbay.craigslist.org/sby/roo/d/campbell-good-place-with-other-good/6976421034.html,2019-09-11,10:49,800.0,campbell,121ft2,,
California,sfbay,sby,rooms & shares,Room For Rent,https://sfbay.craigslist.org/sby/roo/d/san-jose-room-for-rent/6974746486.html,2019-09-11,10:48,550.0,san jose downtown,None,,
California,sfbay,sby,rooms & shares,Furnished Room in a house- South Fremont,https://sfbay.craigslist.org/sby/roo/d/milpitas-furnished-room-in-house-south/6976415056.html,2019-09-11,10:43,750.0,south fremont,None,,
California,sfbay,sby,rooms & shares,Nice room for rent 舒适单人房出租可即时入住,https://sfbay.craigslist.org/sby/roo/d/milpitas-nice-room-for-rent/6976403038.html,2019-09-11,10:31,650.0,milpitas,None,,
California,sfbay,sby,rooms & shares,Room for rent 雅房出租交通方便,https://sfbay.craigslist.org/sby/roo/d/san-jose-room-for-rent/6976402912.html,2019-09-11,10:31,650.0,san jose north,None,,
California,sfbay,sby,rooms & shares,A Long Distance Commuter's Dream Room - N. Willow Glen,https://sfbay.craigslist.org/sby/roo/d/san-jose-long-distance-commuters-dream/6967604458.html,2019-09-11,10:05,535.0,central san jose,125ft2,,
California,sfbay,eby,rooms & shares,Victorian water view bedroom utilities included available NOW,https://sfbay.craigslist.org/eby/roo/d/vallejo-victorian-water-view-bedroom/6976344863.html,2019-09-11,09:32,625.0,vallejo / benicia,3000ft2,,
California,sfbay,eby,rooms & shares,Room for 1 young adult,https://sfbay.craigslist.org/eby/roo/d/pittsburg-room-for-1-young-adult/6968977609.html,2019-09-11,09:19,700.0,pittsburg / antioch,None,,
California,sfbay,nby,rooms & shares,2 Rooms w/ Private Bathroom Available in American Canyon! $750 EACH,https://sfbay.craigslist.org/nby/roo/d/vallejo-2-rooms-private-bathroom/6976345089.html,2019-09-11,09:32,750.0,napa county,None,,
California,sfbay,sfc,rooms & shares,"Working Professionals, INTERNATIONAL STUDENTS",https://sfbay.craigslist.org/sfc/roo/d/san-francisco-working-professionals/6976317976.html,2019-09-11,09:58,800.0,downtown / civic / van ness,None,,
California,sfbay,sfc,rooms & shares,"Live in SF's best! sunny garden apt, 1 roommate LGBTQ",https://sfbay.craigslist.org/sfc/roo/d/san-francisco-live-in-sfs-best-sunny/6976352507.html,2019-09-11,09:51,900.0,bernal heights,300ft2,,
California,sfbay,sfc,rooms & shares,* Private Room in 3 Bedroom 2 Story Home w/Back Yard & Parking *,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-private-room-in-3-bedroom/6964681291.html,2019-09-11,09:10,900.0,excelsior / outer mission,1600ft2,,
California,sfbay,sfc,rooms & shares,viewing  11 am-6pm..Sept. 14. Ccsf and sfsu  are close by,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-viewing-11-am-6pmsept-14/6976310057.html,2019-09-11,09:06,800.0,sunset / parkside,800ft2,,
California,sfbay,sfc,rooms & shares,"close to Sfsu, viewing  Monday at 11am -2pm. Sept. 14~~~~~",https://sfbay.craigslist.org/sfc/roo/d/san-francisco-close-to-sfsu-viewing/6976310744.html,2019-09-11,09:06,800.0,sunset / parkside,800ft2,,
California,sfbay,sby,rooms & shares,Furnished Room in a Quiet Neighborhood,https://sfbay.craigslist.org/sby/roo/d/milpitas-furnished-room-in-quiet/6972493498.html,2019-09-11,09:27,745.0,milpitas,140ft2,,
California,sfbay,scz,rooms & shares,1 Bedroom Available Now,https://sfbay.craigslist.org/scz/roo/d/boulder-creek-1-bedroom-available-now/6976335492.html,2019-09-11,09:22,750.0,boulder creek,None,,
California,sfbay,eby,rooms & shares,带家具雅房出租，近 880,https://sfbay.craigslist.org/eby/roo/d/union-city-880/6974533618.html,2019-09-11,08:17,700.0,fremont / union city / newark,120ft2,,
California,sfbay,nby,rooms & shares,Rooms for rent 650,https://sfbay.craigslist.org/nby/roo/d/penngrove-rooms-for-rent-650/6968592489.html,2019-09-11,08:37,650.0,rohnert pk / cotati,None,,
California,sfbay,sby,rooms & shares,"CLEAN, QUIET, SAFE, FRIENDLY",https://sfbay.craigslist.org/sby/roo/d/san-jose-clean-quiet-safe-friendly/6974706358.html,2019-09-11,08:36,775.0,san jose,120ft2,,
California,sfbay,sby,rooms & shares,$750 1 room for rent $700,https://sfbay.craigslist.org/sby/roo/d/san-jose-room-for-rent-700/6976275896.html,2019-09-11,08:19,750.0,san jose north,None,,
California,sfbay,eby,rooms & shares,Furnished private room in single house including internet and utility,https://sfbay.craigslist.org/eby/roo/d/union-city-furnished-private-room-in/6976221102.html,2019-09-11,07:15,570.0,fremont / union city / newark,110ft2,,
California,sfbay,sby,rooms & shares,南聖荷西房間出租,https://sfbay.craigslist.org/sby/roo/d/san-jose/6963622333.html,2019-09-11,07:13,795.0,san jose south,160ft2,,
California,sfbay,nby,rooms & shares,Commuter room,https://sfbay.craigslist.org/nby/roo/d/novato-commuter-room/6976184059.html,2019-09-11,06:23,800.0,petaluma,None,,
California,sfbay,sby,rooms & shares,Quiet Room in Family Home,https://sfbay.craigslist.org/sby/roo/d/san-jose-quiet-room-in-family-home/6974544560.html,2019-09-11,06:53,750.0,san jose north,120ft2,,
California,sfbay,sby,rooms & shares,Room for rent  / Rento cuarto,https://sfbay.craigslist.org/sby/roo/d/gilroy-room-for-rent-rento-cuarto/6976201367.html,2019-09-11,06:48,700.0,gilroy,None,,
California,sfbay,scz,rooms & shares,Sparkling Room nr. Cabrillo College & Seabright Beach,https://sfbay.craigslist.org/scz/roo/d/capitola-sparkling-room-nr-cabrillo/6976202225.html,2019-09-11,06:50,800.0,soquel,150ft2,,
California,sfbay,eby,rooms & shares,"Room for rent in Antioch, includes utilities.",https://sfbay.craigslist.org/eby/roo/d/room-for-rent-in-antioch-includes/6976142462.html,2019-09-11,04:48,700.0,pittsburg / antioch,None,,
California,sfbay,eby,rooms & shares,Patterson Ca Room For Rent,https://sfbay.craigslist.org/eby/roo/d/pleasanton-patterson-ca-room-for-rent/6976118848.html,2019-09-11,02:24,550.0,dublin / pleasanton / livermore,150ft2,,
California,sfbay,sby,rooms & shares,Private bedroom with shared  bath for rent,https://sfbay.craigslist.org/sby/roo/d/san-jose-private-bedroom-with-shared/6976105346.html,2019-09-11,00:02,760.0,san jose south,None,,
California,sfbay,scz,rooms & shares,Private BR shared BA in 2 BR Condo,https://sfbay.craigslist.org/scz/roo/d/capitola-private-br-shared-ba-in-2-br/6973954085.html,2019-09-11,00:25,845.0,capitola,None,,
California,sfbay,nby,rooms & shares,PrimeLocationWalkToSSU,https://sfbay.craigslist.org/nby/roo/d/rohnert-park-primelocationwalktossu/6976097701.html,2019-09-10,23:02,695.0,rohnert pk / cotati,None,,
California,sfbay,sfc,rooms & shares,Small sunny bedroom,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-small-sunny-bedroom/6962651016.html,2019-09-10,23:13,900.0,ingleside / sfsu / ccsf,110ft2,,
California,sfbay,sby,rooms & shares,1间雅房出租,https://sfbay.craigslist.org/sby/roo/d/1/6974300704.html,2019-09-10,23:08,750.0,san jose north,140ft2,,
California,sfbay,sfc,sublets & temporary,Small Room for Rent for Commuter Roommate close to 24th Bart,https://sfbay.craigslist.org/sfc/sub/d/san-francisco-small-room-for-rent-for/6966274480.html,2019-09-10,22:14,600.0,mission district,70ft2,,
California,sfbay,eby,rooms & shares,Nice 1 bedroom*10/1/19* $500/mth,https://sfbay.craigslist.org/eby/roo/d/pittsburg-nice-1-bedroom-mth/6970223089.html,2019-09-10,21:53,500.0,pittsburg / antioch,None,,
California,sfbay,eby,rooms & shares,Room for rent $600.00/month utilities included,https://sfbay.craigslist.org/eby/roo/d/room-for-rent-month-utilities-included/6976078563.html,2019-09-10,21:24,600.0,fairfield / vacaville,None,,
California,sfbay,nby,rooms & shares,Room for Rent in Single Family house,https://sfbay.craigslist.org/nby/roo/d/rohnert-park-room-for-rent-in-single/6970498915.html,2019-09-10,21:05,800.0,rohnert pk / cotati,108ft2,,
California,sfbay,pen,rooms & shares,Bedroom + Balcony in Spacious Palo Alto House - $865 (Palo Alto),https://sfbay.craigslist.org/pen/roo/d/palo-alto-bedroom-balcony-in-spacious/6976081238.html,2019-09-10,21:41,865.0,palo alto,None,,
California,sfbay,eby,rooms & shares,room 4 rent $600/month,https://sfbay.craigslist.org/eby/roo/d/room-4-rent-600-month/6976071151.html,2019-09-10,20:56,600.0,vallejo / benicia,None,,
California,sfbay,eby,rooms & shares,Room for rent FEMALE only!,https://sfbay.craigslist.org/eby/roo/d/tracy-room-for-rent-female-only/6976061448.html,2019-09-10,20:25,700.0,dublin / pleasanton / livermore,None,,
California,sfbay,sby,rooms & shares,Light Rail to Cisco/Apple/Ebay/Airport/Downtown,https://sfbay.craigslist.org/sby/roo/d/san-jose-light-rail-to-cisco-apple-ebay/6969183287.html,2019-09-10,20:18,800.0,san jose north,None,,
California,sfbay,eby,rooms & shares,Room for rent 12’x10’ w/5’ closet,https://sfbay.craigslist.org/eby/roo/d/vallejo-room-for-rent-12x10-5-closet/6976052330.html,2019-09-10,19:58,500.0,vallejo / benicia,1600ft2,,
California,sfbay,eby,rooms & shares,Concord room for rent/show immediately 9/10,https://sfbay.craigslist.org/eby/roo/d/concord-concord-room-for-rent-show/6971313651.html,2019-09-10,19:09,695.0,concord / pleasant hill / martinez,120ft2,,
California,sfbay,eby,rooms & shares,Room for Rent in Cordelia/Fairfield,https://sfbay.craigslist.org/eby/roo/d/vallejo-room-for-rent-in-cordelia/6976032058.html,2019-09-10,19:05,600.0,fairfield / vacaville,176ft2,,
California,sfbay,nby,rooms & shares,**Nice room for rent**,https://sfbay.craigslist.org/nby/roo/d/forestville-nice-room-for-rent/6975982632.html,2019-09-10,19:09,650.0,russian river,150ft2,,
California,sfbay,pen,rooms & shares,Room for rent,https://sfbay.craigslist.org/pen/roo/d/daly-city-room-for-rent/6976031145.html,2019-09-10,19:03,820.0,daly city,None,,
California,sfbay,scz,rooms & shares,2 Rooms for Rent - $675.00 & $725.00 Great Location!,https://sfbay.craigslist.org/scz/roo/d/santa-cruz-2-rooms-for-rent-great/6959530751.html,2019-09-10,19:08,725.0,santa cruz,120ft2,,
California,sfbay,scz,rooms & shares,Awesome Co-op Seeks Amazing Housemate,https://sfbay.craigslist.org/scz/roo/d/santa-cruz-awesome-co-op-seeks-amazing/6972192160.html,2019-09-10,19:04,799.0,santa cruz,None,,
California,sfbay,eby,rooms & shares,Bedroom for rent near DVC,https://sfbay.craigslist.org/eby/roo/d/pleasant-hill-bedroom-for-rent-near-dvc/6972723899.html,2019-09-10,18:50,595.0,concord / pleasant hill / martinez,None,,
California,sfbay,eby,rooms & shares,Room for Rent near CSU East Bay and  Chabot,https://sfbay.craigslist.org/eby/roo/d/room-for-rent-near-csu-east-bay-and/6963729602.html,2019-09-10,18:43,749.0,hayward / castro valley,None,,
California,sfbay,nby,rooms & shares,**Nice room w/Private entrance**,https://sfbay.craigslist.org/nby/roo/d/forestville-nice-room-private-entrance/6975982874.html,2019-09-10,18:59,650.0,russian river,150ft2,,
California,sfbay,pen,rooms & shares,Cozy Room for Rent Available Immediately in Quiet Neighborhood,https://sfbay.craigslist.org/pen/roo/d/pacifica-cozy-room-for-rent-available/6970509032.html,2019-09-10,18:24,850.0,pacifica,108ft2,,
California,sfbay,sby,rooms & shares,Accommodation available In A Town Home At Tasman/Fair Oaks,https://sfbay.craigslist.org/sby/roo/d/sunnyvale-accommodation-available-in/6976013670.html,2019-09-10,18:24,700.0,sunnyvale,None,,
California,sfbay,sby,rooms & shares,Room share,https://sfbay.craigslist.org/sby/roo/d/fremont-room-share/6968385871.html,2019-09-10,18:17,680.0,milpitas,None,,
California,sfbay,eby,rooms & shares,"Room for share, Female Only",https://sfbay.craigslist.org/eby/roo/d/pittsburg-room-for-share-female-only/6975979271.html,2019-09-10,17:18,750.0,pittsburg / antioch,150ft2,,
California,sfbay,eby,rooms & shares,"Room for rent, Newark, All utilities Inc.",https://sfbay.craigslist.org/eby/roo/d/newark-room-for-rent-newark-all/6975969037.html,2019-09-10,17:00,750.0,fremont / union city / newark,None,,
California,sfbay,sfc,rooms & shares,"One Room for rent, Walk to CCSF (Alemany Blvd & Ocean Ave)",https://sfbay.craigslist.org/sfc/roo/d/san-francisco-one-room-for-rent-walk-to/6976001306.html,2019-09-10,17:59,900.0,excelsior / outer mission,300ft2,,
California,sfbay,sby,rooms & shares,Multiple rooms for rent in a two story home,https://sfbay.craigslist.org/sby/roo/d/gilroy-multiple-rooms-for-rent-in-two/6975980974.html,2019-09-10,17:21,750.0,gilroy,1600ft2,,
California,sfbay,eby,rooms & shares,2 Rooms in House near 6 Flags,https://sfbay.craigslist.org/eby/roo/d/vallejo-2-rooms-in-house-near-6-flags/6975931709.html,2019-09-10,16:04,700.0,vallejo / benicia,None,,
California,sfbay,pen,rooms & shares,SEMI FURNISHED ROOM FOR RENT,https://sfbay.craigslist.org/pen/roo/d/san-mateo-semi-furnished-room-for-rent/6966149897.html,2019-09-10,16:15,800.0,san mateo,None,,
California,sfbay,sby,rooms & shares,PHÒNG CHO THUÊ/ Room For Rent,https://sfbay.craigslist.org/sby/roo/d/san-jose-phng-cho-thu-room-for-rent/6975962771.html,2019-09-10,16:50,600.0,san jose south,None,,
California,sfbay,eby,rooms & shares,Furnished room for rent,https://sfbay.craigslist.org/eby/roo/d/walnut-creek-furnished-room-for-rent/6975930247.html,2019-09-10,15:59,625.0,walnut creek,None,,
California,sfbay,eby,rooms & shares,725 Nice Room Beautiful Single Family house Near Lone Tree Way,https://sfbay.craigslist.org/eby/roo/d/antioch-725-nice-room-beautiful-single/6975909986.html,2019-09-10,15:30,725.0,brentwood / oakley,None,,
California,sfbay,eby,rooms & shares,Room for Rent/ utilities include,https://sfbay.craigslist.org/eby/roo/d/vallejo-room-for-rent-utilities-include/6975892202.html,2019-09-10,15:05,750.0,vallejo / benicia,None,,
California,sfbay,pen,rooms & shares,FURNISHED ROOM,https://sfbay.craigslist.org/pen/roo/d/san-bruno-furnished-room/6968250954.html,2019-09-10,15:40,800.0,san bruno,None,,
California,sfbay,sby,rooms & shares,large room for rent north san jose ranch 99 costco lundy hostetter,https://sfbay.craigslist.org/sby/roo/d/san-jose-large-room-for-rent-north-san/6971008994.html,2019-09-10,15:56,600.0,san jose north,180ft2,,
California,sfbay,sby,rooms & shares,room for rent near SJSU downtown san jose spartan stadium 95112,https://sfbay.craigslist.org/sby/roo/d/san-jose-room-for-rent-near-sjsu/6971008190.html,2019-09-10,15:56,575.0,san jose downtown,120ft2,,
California,sfbay,sby,rooms & shares,small room for rent plum street downtown san jose zip 95110,https://sfbay.craigslist.org/sby/roo/d/san-jose-small-room-for-rent-plum/6971007883.html,2019-09-10,15:55,525.0,san jose downtown,90ft2,,
California,sfbay,sby,rooms & shares,room for rent north san jose ranch 99 costco lundy hostetter,https://sfbay.craigslist.org/sby/roo/d/san-jose-room-for-rent-north-san-jose/6971007549.html,2019-09-10,15:55,550.0,san jose north,130ft2,,
California,sfbay,sby,rooms & shares,Furnished Bedroom & Bathroom - $795,https://sfbay.craigslist.org/sby/roo/d/san-jose-furnished-bedroom-bathroom-795/6975926524.html,2019-09-10,15:54,795.0,san jose south,None,,
California,sfbay,eby,rooms & shares,★★*Union City Room 出租*★★,https://sfbay.craigslist.org/eby/roo/d/fremont-union-city-room/6971288300.html,2019-09-10,14:02,720.0,fremont / union city / newark,None,,
California,sfbay,pen,rooms & shares,Single rooms with shared baths,https://sfbay.craigslist.org/pen/roo/d/daly-city-single-rooms-with-shared-baths/6975866121.html,2019-09-10,14:53,850.0,daly city,None,,
California,sfbay,sby,rooms & shares,Room for Rent for Female in San Jose no Parking,https://sfbay.craigslist.org/sby/roo/d/san-jose-room-for-rent-for-female-in/6975878416.html,2019-09-10,14:57,775.0,san jose east,100ft2,,
California,sfbay,sby,rooms & shares,$769 Room- separate private entrance(sanjose downtown-Walking distance,https://sfbay.craigslist.org/sby/roo/d/san-jose-769-room-separate-private/6970806375.html,2019-09-10,14:55,769.0,san jose downtown,None,,
California,sfbay,eby,rooms & shares,$750 room for rent in Newark,https://sfbay.craigslist.org/eby/roo/d/newark-750-room-for-rent-in-newark/6968963565.html,2019-09-10,13:57,750.0,fremont / union city / newark,110ft2,,
California,sfbay,nby,rooms & shares,GREAT LOCATION! Montgomery Village Home-AVAILABLE OCTOBER 1,https://sfbay.craigslist.org/nby/roo/d/santa-rosa-great-location-montgomery/6972514475.html,2019-09-10,13:21,795.0,santa rosa,None,,
California,sfbay,pen,rooms & shares,Furnished room for lady,https://sfbay.craigslist.org/pen/roo/d/daly-city-furnished-room-for-lady/6961087883.html,2019-09-10,13:46,900.0,south san francisco,None,,
California,sfbay,sfc,rooms & shares,ROOM AVAILABLE NOW IN NICE AREA,https://sfbay.craigslist.org/sfc/roo/d/san-jose-room-available-now-in-nice-area/6972745058.html,2019-09-10,13:57,790.0,south san jose,None,,
California,sfbay,sby,rooms & shares,NICE ROOM FOR RENT     $700 MONTH,https://sfbay.craigslist.org/sby/roo/d/san-jose-nice-room-for-rent-700-month/6971200973.html,2019-09-10,13:58,790.0,san jose south,None,,
California,sfbay,eby,rooms & shares,"Private Bedroom available in beautiful, comfortable home",https://sfbay.craigslist.org/eby/roo/d/brentwood-private-bedroom-available-in/6975786926.html,2019-09-10,12:59,725.0,brentwood / oakley,None,,
California,sfbay,eby,rooms & shares,single occupancy rooms for rent,https://sfbay.craigslist.org/eby/roo/d/vallejo-single-occupancy-rooms-for-rent/6975756721.html,2019-09-10,12:25,750.0,vallejo / benicia,None,,
California,sfbay,sfc,rooms & shares,Ideal for students~Beautiful single room available for rent!,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-ideal-for/6963412870.html,2019-09-10,12:21,850.0,excelsior / outer mission,None,,
California,sfbay,sby,rooms & shares,Santa clara  3bed 2beth  house   private  room  rent,https://sfbay.craigslist.org/sby/roo/d/santa-clara-santa-clara-3bed-2beth/6975685175.html,2019-09-10,12:22,750.0,santa clara,None,,
California,sfbay,sby,rooms & shares,房間出租,https://sfbay.craigslist.org/sby/roo/d/san-jose/6973807048.html,2019-09-10,12:02,780.0,san jose west,None,,
California,sfbay,eby,rooms & shares,Room for rent in Vallejo,https://sfbay.craigslist.org/eby/roo/d/american-canyon-room-for-rent-in-vallejo/6966538555.html,2019-09-10,11:36,650.0,vallejo / benicia,350ft2,,
California,sfbay,pen,rooms & shares,8/30 Remodeled room in-law hardwood flr close to frwy bart,https://sfbay.craigslist.org/pen/roo/d/8-30-remodeled-room-in-law-hardwood-flr/6967482773.html,2019-09-10,11:48,800.0,daly city,110ft2,,
California,sfbay,sby,rooms & shares,Private room  free wifi includes cable and utilities,https://sfbay.craigslist.org/sby/roo/d/private-room-free-wifi-includes-cable/6975729316.html,2019-09-10,11:54,750.0,none,120ft2,,
California,sfbay,scz,rooms & shares,Room for Rent @ Royal Oaks,https://sfbay.craigslist.org/scz/roo/d/watsonville-room-for-rent-royal-oaks/6970819566.html,2019-09-10,11:54,800.0,watsonville,None,,
California,sfbay,eby,rooms & shares,Room for rent - utilities + wifi included,https://sfbay.craigslist.org/eby/roo/d/san-ramon-room-for-rent-utilities-wifi/6975668442.html,2019-09-10,10:50,775.0,danville / san ramon,None,,
California,sfbay,eby,rooms & shares,Room for rent $650,https://sfbay.craigslist.org/eby/roo/d/concord-room-for-rent-650/6975663352.html,2019-09-10,10:45,650.0,concord / pleasant hill / martinez,None,,
California,sfbay,eby,rooms & shares,Fremont 3rooms for girls,https://sfbay.craigslist.org/eby/roo/d/fremont-fremont-3rooms-for-girls/6975620951.html,2019-09-10,10:01,590.0,fremont / union city / newark,None,,
California,sfbay,nby,rooms & shares,CHEAP ROOM - FOREST KNOLLS,https://sfbay.craigslist.org/nby/roo/d/forest-knolls-cheap-room-forest-knolls/6975665100.html,2019-09-10,10:47,800.0,fairfax,None,,
California,sfbay,sby,rooms & shares,Good Place with Good People,https://sfbay.craigslist.org/sby/roo/d/campbell-good-place-with-good-people/6972364672.html,2019-09-10,10:36,800.0,campbell,121ft2,,
